English word,Katakana word,Google Translate
thomas,トマス,Thomas
farelio,ファレリオ,Farerio
chatterer,チャッタラー,Chattara
uuml,レ,Le
resorve,レゼルヴ,Reserve
capek,ケイ,Kay
bbeam,ビーム,Beam
bull,ゼロ,Zero
degani,デガーニ,Degani
flaman,マン,Man
bierzo,ビエルソ,Bierzo
rubens,ルーベンス,Rubens
baron,ブラン,Blanc
muller,オーセロア,Oseroa
ximenezspinola,スピノラ,Spinola
arnais,アルネイス,Arneis
poeti,ポエティ,Poeti
bigpeat,ピート,Pete
testamatta,テスタマッタ,Tesutamatta
ver,ベル,Bell
kendermann,ケンダーマン,Kendaman
justino,ジュスティノ,Jusutino
sparr,ペル,Pell
baia,バイア,Via
kapsel,カプセル,Capsule
ponso,ポンソ,Ponso
carteddaro,カルテッダーロ,Karuteddaro
fondateur,フォンダトール,Fonda Thor
claustros,クラウス,Klaus
betulle,リボッラ,Riborra
clubs,エースオブクラブズ,Ace of Club's
bull,ブル,Bull
marie,ローズマリー,Rosemary
bancroft,ロフト,Loft
portela,ポルテーラ,Porutera
sous,ス,Scan
years,ベリーズ,Belize
wines,スピアーワインズ,Spier Wines
leoville,ラベル,Label
siegerrebe,ジーガレーベ,Jigarebe
roncaie,ロンカイエ,Ronkaie
terre,イタリア,Italy
carretil,カレティル,Karetiru
kilikanoon,キリカヌーン,Kirikanun
naiagara,ナイアガラ,Niagara
boillot,ライト,Light
jouan,ミュジニー,Musigny
rajamagra,ラヤマグラ,Rayamagura
fermentato,フェルメンタァト,Fell Men Ta~ato
guerrerie,ゲルリー,Geruri
nieto,ニエト,Nieto
viernes,ビエルネス,Bierunesu
maclaren,マクラーレン,Mclaren
hishock,シコ,Chico
fetish,ティッシュ,Tissue
blanc,ジャンケ,Janke
mareto,マレート,Malate
canyon,ソーセリートキャニオンヴィンヤード,Saw Cerrito Canyon Vineyard
horizon,ホライズン,Horizon
storzato,スフルサート,Sufurusato
hollenberg,レンベルグ,Renberugu
akhoebi,アクホエビ,Akuhoebi
foot,ベアフット,Barefoot
madone,マドンヌ,Madone
trois,クラッセ,Classe
geografico,ジェオグラーフィコ,Geo Ziegler Fi co
thieriot,シエリオット,Shea Elliott
angelis,アンゲロス,Angelos
montmartel,モンマルテル,Monmaruteru
macard,ボルドー,Bordeaux
lot,エステイト,Estate
violet,ヴァイオレット,Violet
ronchetto,ロンケット,Ronketto
pinot,カラント,Currant
